course_id,Course_title,Course_Category,Corse_link,Curriculum,Amount,image,Description
c_001,Introduction to Generative AI,Generative AI,https://courses.analyticsvidhya.com/courses/introduction-to-generative-ai,9 Lessons,Free,https://import.cdn.thinkific.com/118220/CNjAWH6TUaIQt8N5FX9Y_thumbnail%201.png,"This course will provide you with a comprehensive understanding of generative AI, including text and image generation techniques. By the end of the course, you will be have an understanding of using generative AI tools to create diverse content."
c_002,Introduction to AI & ML,AI &ML,https://courses.analyticsvidhya.com/courses/introduction-to-ai-ml,17 Lessons,Free,https://import.cdn.thinkific.com/118220/rlT6Q4O0SEafxqg4WmzL_Introduction_to_AI__ML_88145141-2c69-4ae8-9681-5d7201a38288%20(1).png,"Artificial Intelligence (AI) and Machine Learning (ML) are changing the world around us. From functions to industries, AI and ML are disrupting how we work and how we function. Get to know all about the different facets of AI and ML in this course."
c_003,Introduction to Business Analytics,Analytics,https://courses.analyticsvidhya.com/courses/introduction-to-analytics,32 Lessons,Free,https://import.cdn.thinkific.com/118220/uQspaf6ESc6KPX6jkVrx_Introduction_to_Business_Analytics_fcacd85c-25ff-44bf-a74d-ee3aa66e51d4.png,Business analytics is thriving ? and so is its role in forward-thinking organizations around the world. The demand for business analytics professionals is growing multifold - and now is the time to start working towards your desired career.
c_004,Getting Started with Large Language Models,Generative AI,https://courses.analyticsvidhya.com/courses/getting-started-with-llms,18 Lessons,Free,https://import.cdn.thinkific.com/118220/TwSmk34ARlGMcQu4M8Co_A_Comprehensive_Learning_Path_to_Become_a_Data_Sc_265db306-1f93-496d-827e-0f1e534c9cf1.png,Embarking on a journey into Large Language Models (LLMs) can be seamless with the right approach. This course offers an optimal pathway to delve into the intricacies of natural language processing and model training.
c_005,Building LLM Applications using Prompt Engineering - Free Course,Generative AI,https://courses.analyticsvidhya.com/courses/building-llm-applications-using-prompt-engineering-free,17 Lessons,Free,https://import.cdn.thinkific.com/118220/GnpgN0uiTA1VO2MpQvTA_3.png,"This free course offers a comprehensive guide on building LLM applications, mastering prompt engineering, implementing best practices, and developing chatbots using enterprise data using advanced techniques like few-shot or one-shot prompting"
c_006,MidJourney: From Inspiration to Implementation - Free Course,Generative AI,https://courses.analyticsvidhya.com/courses/midjourney_from_inspiration_to_implementation,5 Lessons,Free,https://import.cdn.thinkific.com/118220/NclAzDSwRwedON784y83_QZQvFaQFTFu4cFHZ0O5A_Midjourney%20(1).png,Understand the fundamentals of the famous image generation tool - Midjourney in this free course. You will learn the various components of Midjourney and how to use it to bring your imaginations to real world.
c_007,Building Your first RAG System using LlamaIndex - Free Course,AI &ML,https://courses.analyticsvidhya.com/courses/building-first-rag-systems-using-llamaindex,12 Lessons,Free,https://import.cdn.thinkific.com/118220/HSr06pXxRTeF2Lpp6VQl_DALL%C2%B7E%202024-07-03%2011.42.42%20-%20A%20visually%20striking%20representation%20of%20a%20Retrieval-Augmented%20Generation%20(RAG)%20system%20using%20LlamaIndex.%20The%20image%20should%20have%20a%20dark%20background%20with%20int.png,Dive into the sea of Retrieval Augmented Generation with this free course that will help you build your first RAG model with the popular LlamaIndex.
c_008,Exploring Stability.AI - Free Course,AI &ML,https://courses.analyticsvidhya.com/courses/exploring-stability-ai,7 Lessons,Free,https://import.cdn.thinkific.com/118220/imiRzsUqTwuQxv4wfyUb_mastering-stable-diffusion-thumbnail_2.png,"Explore Stability.AI with this free course providing hands-on experience. Learn to deploy SD WebUI, use Automatic WebUI on RunPod GPU environments, and master installation, setup, generation, and customization of SD."
c_009,Introduction to Python,AI &ML,https://courses.analyticsvidhya.com/courses/introduction-to-data-science,70 Lessons,Free,https://import.cdn.thinkific.com/118220/QAUsjF0qSxCI7fsIrzhn_Algorithm_in_Python_and_R_1b947457-056e-4bfb-9a6f-ce614ebfe3c4.png,"Power up your career with the best and most popular data science language, Python. Leverage your Python skills to start your Data Science journey. This course is intended for beginners with no coding or Data Science background."
c_010,The Working of Neural Networks - Free Course,AI &ML,https://courses.analyticsvidhya.com/courses/The%20Working%20of%20Neural%20Networks,11 Lessons,Free,https://import.cdn.thinkific.com/118220/cu3qVXYTR7WEDj7eYQXS_unnamed.jpg,Kickstarting your career in the field of Deep Learning can be made easy with the right guide. This course will serve as a learning path to help beginners navigate through the complex terrain of Deep Learning.
c_011,Understanding Linear Regression - Free Course,AI &ML,https://courses.analyticsvidhya.com/courses/free-understanding-linear-regression,10 Lessons,Free,https://import.cdn.thinkific.com/118220/vK6lGCCqSsWtESgG69K1_Foundational%20ML%20Algorithms.png,Linear Regression is one of the foundational algorithms used in the industry to make predictions for regression problems. In this free course let us understand Linear Regression using a Business Case Study
c_012,Building a Text Classification Model with Natural Language Processing - Free Course,AI &ML,https://courses.analyticsvidhya.com/courses/free-building-textclassification-natural-language-processing,16 Lessons,Free,https://import.cdn.thinkific.com/118220/YfA6OJ6ATeiwbbvvzb5h_NLP%20Banner.png,"Explore the essentials of NLP with our comprehensive course! Learn text classification, NLP models with PyTorch, and real-world applications. Perfect for beginners and professionals alike, dive into AI-driven text analysis and hands-on projects."
c_013,The A to Z of Unsupervised ML - Free Course,AI &ML,https://courses.analyticsvidhya.com/courses/free-unsupervised-ml-guide,13 Lessons,Free,https://import.cdn.thinkific.com/118220/a8FaIfN8SyfgOEhgzcHx_Getting_Started_with_Neural_Networks_307d8d11-d90e-45eb-8885-7d8f59fadc48.png,Get ahead of the crowd with this free course on Unsupervised Machine Learning Models. We will be covering popular clustering algorithms and DBSCAN and show you its applications on a real-world business problem.
c_014,Bagging and Boosting ML Algorithms - Free Course,AI &ML,https://courses.analyticsvidhya.com/courses/bagging-boosting-ML-Algorithms,16 Lessons,Free,https://import.cdn.thinkific.com/118220/ZPH29GMrTey5gAaobwAH_Getting%20started%20with%20Decision%20Trees.jpg,This free course on Advanced ML Algorithms - Bagging and Boosting is perfect place to get a taste of how advanced ML algorithms look like and function on a real-world business problem.
c_015,Data Preprocessing on a Real-World Problem Statement - Free Course,Analytics,https://courses.analyticsvidhya.com/courses/data-preprocessing,13 Lessons,Free,https://import.cdn.thinkific.com/118220/2BmYWOASeye7uIgp3mHr_Building%20your%20first%20ML%20model.png,Kickstarting your career in Data Science can be easy with the right guide. This free course will serve as the perfect path to help beginners navigate the complex terrain of Data Preprocessing and prepare any data for modelling.
c_016,Microsoft Excel: Formulas & Functions,Analytics,https://courses.analyticsvidhya.com/courses/microsoft-excel-formulas-functions,33 Lessons,Free,https://import.cdn.thinkific.com/118220/Fempx8fdSiumAPGK20Xp_thumb%20%282%29.jpg,"Microsoft Excel is still the tool of choice in the industry when it comes to performing data analysis, thanks to its incredible depth and array of formulas and functions. This course covers a wide range of Excel formulas, including LookUp Functions!"
c_017,Tableau for Beginners,Analytics,https://courses.analyticsvidhya.com/courses/tableau-for-beginners,17 Lessons,Free,https://import.cdn.thinkific.com/118220/UtXF4erQmuUVLtZz8TMA_tablu_thumb.jpg,"Tableau is the tool of choice for business intelligence, analytics and data visualization experts. Learn how to use Tableau, the different features of Tableau, and start building impactful visualization using this Tableau tutorial!"
c_018,Loan Prediction Practice Problem (Using Python),AI &ML,https://courses.analyticsvidhya.com/courses/loan-prediction-practice-problem-using-python,16 Lessons,Free,https://import.cdn.thinkific.com/118220/pcauZ3ZqSWqrYXlYTd0w_Loan_Prediction_Practice_Problem_8dbf2aea-f3c8-42d4-bd27-87e738de5aac.png,This course is aimed for people getting started into Data Science and Machine Learning while working on a real life practical problem.
c_019,Twitter Sentiment Analysis,AI &ML,https://courses.analyticsvidhya.com/courses/twitter-sentiment-analysis,18 Lessons,Free,https://import.cdn.thinkific.com/118220/nwZ67Ta2R0SO6uI4mWBe_Twitter%20Sentiment%20Analysis.jpg,What is sentiment analysis? Why is sentiment analysis so popular in data science? And how can you perform sentiment analysis? Find the answers to all these questions in this free course on Sentiment Analysis using Python!
c_020,Introduction to Web Scraping using Python,Analytics,https://courses.analyticsvidhya.com/courses/introduction-to-web-scraping,13 Lessons,Free,https://import.cdn.thinkific.com/118220/AEt5RjqFTCeJJ8oIBn7s_thumb.jpg,What is web scraping? Why is web scraping a must-know skill? How can you perform web scraping in Python? This course will cover all these aspects of web scraping and showcase how to perform web scraping using BeautifulSoup and Scrapy.
c_021,Big Mart Sales Prediction Using R,Analytics,https://courses.analyticsvidhya.com/courses/big-mart-sales-prediction-using-r,19 Lessons,Free,https://import.cdn.thinkific.com/118220/t1hnCAcdT22pr7EEWQpW_Sales%20Prediction_thumb.jpg,This course is aimed for people getting started into Data Science and Machine Learning while solving the Big Mart Sales Prediction problem.
c_022,Time Series Forecasting using Python,AI &ML,https://courses.analyticsvidhya.com/courses/creating-time-series-forecast-using-python,22 Lessons,Free,https://import.cdn.thinkific.com/118220/jojmXPCwS6el6FYGilVC_time_seriesthumb.jpg,"Learn time series analysis and build your first time series forecasting model using ARIMA, Holt?s Winter and other time series forecasting methods in Python for a real-life industry use case"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
